file_name,obj_class,volume,surface_area,diameter,eccentricity,compactness,rectangularity,convexity,sphericity,elongation,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,A3_10,A3_11,A3_12,A3_13,A3_14,A3_15,A3_16,A3_17,A3_18,A3_19,A3_20,A3_21,A3_22,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D1_11,D1_12,D1_13,D1_14,D1_15,D1_16,D1_17,D1_18,D1_19,D1_20,D1_21,D1_22,D1_23,D1_24,D1_25,D1_26,D1_27,D1_28,D1_29,D1_30,D1_31,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D2_13,D2_14,D2_15,D2_16,D2_17,D2_18,D2_19,D2_20,D2_21,D2_22,D2_23,D2_24,D2_25,D2_26,D2_27,D2_28,D2_29,D2_30,D2_31,D2_32,D2_33,D2_34,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D3_9,D3_10,D3_11,D3_12,D3_13,D3_14,D3_15,D3_16,D3_17,D3_18,D3_19,D3_20,D3_21,D3_22,D3_23,D3_24,D3_25,D3_26,D3_27,D3_28,D3_29,D3_30,D3_31,D3_32,D3_33,D3_34,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10,D4_11,D4_12,D4_13,D4_14,D4_15,D4_16,D4_17,D4_18,D4_19,D4_20,D4_21,D4_22,D4_23,D4_24,D4_25,D4_26,D4_27,D4_28,D4_29,D4_30,D4_31,D4_32,D4_33
m1345.obj,AircraftBuoyant,0.107,0.831,-0.7637,-0.2469,2.4055,-0.717,0.4556,-0.8092,-0.7092,0.036,0.07,0.07375,0.085,0.07475,0.094,0.084,0.085,0.0725,0.0645,0.05875,0.0445,0.039,0.027,0.02425,0.02025,0.01475,0.0135,0.00825,0.00625,0.00275,0.00125,0.0,0.0,0.0,0.0,0.0,0.105,0.26375,0.30525,0.14675,0.05575,0.0575,0.02325,0.0055,0.00425,0.0135,0.00375,0.01575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01675,0.0265,0.035,0.042,0.04225,0.0465,0.0575,0.065,0.064,0.07175,0.07425,0.07825,0.08875,0.08125,0.0535,0.03975,0.03475,0.02575,0.02075,0.00875,0.0065,0.0035,0.00425,0.0045,0.00225,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00475,0.03225,0.072,0.09825,0.148,0.16175,0.156,0.15075,0.10375,0.04425,0.0185,0.00675,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03675,0.1595,0.2575,0.26075,0.1915,0.08,0.01375,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1346.obj,AircraftBuoyant,-0.5286,-0.6512,-0.6562,-0.2205,-0.6789,0.0148,0.2707,0.4045,0.4464,0.04075,0.098,0.121,0.09525,0.08625,0.0795,0.05625,0.05,0.04675,0.0325,0.0375,0.035,0.0325,0.03925,0.037,0.0275,0.02625,0.02275,0.02,0.01125,0.00375,0.001,0.0,0.0,0.0,0.14175,0.16575,0.10725,0.087,0.08825,0.08425,0.076,0.07275,0.0695,0.066,0.03325,0.00825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425,0.014,0.02875,0.03975,0.0495,0.07075,0.07375,0.09175,0.0805,0.06125,0.061,0.056,0.0485,0.0445,0.03875,0.03475,0.0345,0.03,0.0215,0.02225,0.02,0.01525,0.01625,0.014,0.01,0.00975,0.00325,0.0035,0.001,0.00075,0.00025,0.0,0.0,0.0,0.00475,0.03075,0.07725,0.145,0.20075,0.20725,0.18525,0.11425,0.0335,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03475,0.2065,0.36775,0.30925,0.08125,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1347.obj,AircraftBuoyant,-0.2614,-0.3599,-0.7265,-0.2247,-0.4631,-0.0692,0.7305,-0.1638,0.2755,0.04575,0.09175,0.09725,0.09825,0.09175,0.0725,0.07175,0.05625,0.04825,0.04825,0.0455,0.03925,0.036,0.0305,0.0305,0.0285,0.0215,0.01925,0.01575,0.008,0.0035,0.0,0.0,0.0,0.0,0.001,0.151,0.22125,0.12525,0.07225,0.06725,0.0755,0.07825,0.0805,0.06875,0.057,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00875,0.01325,0.01875,0.0355,0.04475,0.052,0.0495,0.06325,0.06875,0.071,0.06625,0.0695,0.0685,0.0515,0.04975,0.0515,0.03625,0.0265,0.0265,0.01875,0.01775,0.01975,0.016,0.0125,0.0125,0.00975,0.00775,0.008,0.00375,0.00125,0.0005,0.0,0.0,0.0,0.00525,0.0295,0.06425,0.10475,0.14725,0.17975,0.169,0.13825,0.10075,0.04875,0.012,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04075,0.1785,0.27125,0.29125,0.183,0.03525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1344.obj,AircraftBuoyant,0.5016,0.1002,-0.7308,-0.2512,-0.398,-0.7369,0.7363,-0.2505,-0.6761,0.01925,0.0445,0.06525,0.0895,0.09375,0.09825,0.1095,0.08525,0.086,0.0715,0.065,0.04625,0.04175,0.029,0.019,0.014,0.007,0.007,0.00325,0.00375,0.001,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.18025,0.3985,0.32425,0.02525,0.01675,0.014,0.017,0.01375,0.01025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.00875,0.0165,0.02225,0.028,0.04325,0.04325,0.046,0.05475,0.0595,0.067,0.0735,0.07975,0.085,0.10125,0.107,0.077,0.02425,0.02075,0.0115,0.008,0.00975,0.0035,0.0045,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.01525,0.04225,0.0785,0.10125,0.1425,0.1695,0.178,0.15725,0.07525,0.02375,0.0125,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.09025,0.2065,0.249,0.25975,0.13875,0.03275,0.00425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1343.obj,AircraftBuoyant,1.3397,1.0316,-0.6538,-0.2522,0.2869,-0.5426,1.0143,-0.6176,-0.5569,0.014,0.03725,0.0685,0.08575,0.0925,0.09475,0.10575,0.0965,0.085,0.075,0.06575,0.05125,0.0425,0.02825,0.0245,0.0145,0.0095,0.004,0.003,0.00125,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.06675,0.33425,0.17575,0.162,0.20325,0.04175,0.01625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.012,0.02175,0.02225,0.0345,0.04125,0.0465,0.0515,0.06225,0.0645,0.0755,0.07475,0.07625,0.0865,0.0935,0.0995,0.0925,0.01475,0.008,0.00425,0.00575,0.00475,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225,0.01775,0.04575,0.076,0.11325,0.1395,0.1675,0.18425,0.164,0.073,0.01025,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0995,0.20825,0.25825,0.24475,0.14875,0.022,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1342.obj,AircraftBuoyant,0.4629,0.147,-0.6881,-0.2477,-0.3098,-0.6825,0.9439,-0.3408,-0.6192,0.03275,0.061,0.0695,0.088,0.0965,0.091,0.0865,0.084,0.07325,0.07,0.05375,0.0515,0.03775,0.0285,0.02325,0.01825,0.015,0.009,0.00625,0.0025,0.00125,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.214,0.209,0.16875,0.00825,0.005,0.0855,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0165,0.01975,0.028,0.03,0.03175,0.04075,0.048,0.05625,0.0645,0.06775,0.072,0.075,0.08175,0.0825,0.08025,0.0515,0.034,0.029,0.02225,0.01675,0.0135,0.01325,0.0145,0.004,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.023,0.041,0.0745,0.10875,0.139,0.14975,0.17025,0.161,0.0795,0.036,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.1115,0.19925,0.251,0.248,0.138,0.029,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1341.obj,AircraftBuoyant,-0.5445,-0.6849,-0.8017,-0.2263,-0.7132,-0.494,0.0135,0.5834,0.5765,0.05325,0.1005,0.10475,0.076,0.072,0.0705,0.06625,0.06125,0.05275,0.05125,0.0445,0.0465,0.03575,0.0315,0.029,0.02425,0.017,0.0195,0.01725,0.01475,0.0085,0.003,0.023,0.016,0.007,0.12,0.136,0.15025,0.12775,0.0725,0.1125,0.06775,0.0,0.0,0.0,0.03425,0.037,0.032,0.02775,0.03325,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00575,0.01775,0.03175,0.04325,0.05075,0.053,0.05875,0.07075,0.07575,0.0895,0.08575,0.07325,0.04175,0.0295,0.025,0.025,0.02675,0.01925,0.0245,0.01475,0.015,0.019,0.01625,0.01525,0.01975,0.02,0.014,0.01175,0.0045,0.00175,0.00025,0.0,0.0,0.0,0.00325,0.03125,0.08725,0.14525,0.19675,0.201,0.15775,0.07025,0.042,0.0415,0.0215,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04225,0.224,0.33325,0.266,0.106,0.026,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1348.obj,AircraftBuoyant,-0.531,-0.6507,-0.7206,-0.2216,-0.6765,-0.0544,0.2678,0.3932,0.3979,0.0365,0.09925,0.11125,0.10425,0.08475,0.07075,0.053,0.0535,0.0435,0.04425,0.04175,0.03875,0.037,0.0305,0.03125,0.0295,0.03025,0.02275,0.02075,0.01075,0.0055,0.00025,0.0,0.0,0.0,0.145,0.1615,0.11575,0.08475,0.0805,0.09825,0.0755,0.071,0.0665,0.0545,0.0325,0.01425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.01475,0.0235,0.03575,0.0575,0.05725,0.08225,0.09825,0.0785,0.06875,0.06225,0.051,0.0445,0.04825,0.03575,0.03775,0.03625,0.02625,0.02525,0.02375,0.02175,0.014,0.016,0.00825,0.009,0.00675,0.0055,0.003,0.0015,0.0005,0.00025,0.0,0.0,0.0,0.00275,0.03125,0.0815,0.138,0.1955,0.20425,0.19525,0.11975,0.0305,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03975,0.2025,0.365,0.3155,0.07725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1349.obj,AircraftBuoyant,-0.6053,-0.6772,-0.6498,-0.2181,-0.6542,-0.1918,0.1716,0.2995,0.9156,0.04375,0.1005,0.10675,0.1085,0.0855,0.07075,0.0585,0.0515,0.04275,0.04675,0.043,0.03575,0.03175,0.031,0.02975,0.03325,0.024,0.02125,0.019,0.01,0.00525,0.00075,0.0,0.0,0.0,0.16525,0.15725,0.149,0.11775,0.07375,0.0635,0.06025,0.06175,0.063,0.05025,0.029,0.00925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425,0.01675,0.03375,0.0505,0.05525,0.067,0.0785,0.082,0.07125,0.0765,0.0705,0.05725,0.0515,0.0445,0.03475,0.0345,0.03325,0.0295,0.01825,0.0195,0.01425,0.01375,0.012,0.008,0.0055,0.0055,0.0055,0.00275,0.003,0.00025,0.00025,0.0,0.0,0.0,0.00525,0.0435,0.09325,0.1595,0.2,0.20525,0.159,0.10025,0.0255,0.0075,0.00075,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425,0.242,0.3625,0.28475,0.0665,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1350.obj,AircraftBuoyant,-0.5393,-0.6117,-0.6594,-0.2023,-0.6102,-0.0078,0.3025,0.1489,0.6698,0.0675,0.11425,0.1135,0.0905,0.0685,0.05475,0.05675,0.0545,0.04125,0.044,0.04225,0.03625,0.03225,0.0315,0.0315,0.0245,0.0295,0.03,0.01925,0.011,0.00525,0.00125,0.0,0.0,0.0,0.0575,0.08775,0.07525,0.1475,0.08475,0.08425,0.068,0.05175,0.06775,0.1135,0.11525,0.046,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00675,0.02175,0.032,0.04175,0.04725,0.054,0.0475,0.06825,0.0845,0.059,0.05125,0.038,0.04275,0.029,0.01925,0.026,0.02375,0.02825,0.0325,0.03075,0.0365,0.03075,0.0295,0.024,0.01875,0.01825,0.0125,0.01875,0.01525,0.007,0.0045,0.0,0.0,0.0,0.00825,0.04,0.06975,0.1215,0.16775,0.1715,0.15725,0.1295,0.08225,0.04775,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0475,0.19875,0.31525,0.28525,0.141,0.01225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
