volume,surface_area,diameter,eccentricity,compactness,rectangularity,convexity,sphericity,elongation,obj_class,file_name
-0.6047,-0.7287,-0.7092,-0.3435,-0.7593,-0.078,0.1307,0.4824,0.6809,AircraftBuoyant,m1346.obj
-0.3637,-0.4667,-0.7854,-0.3528,-0.5621,-0.1578,0.6076,-0.0855,0.411,AircraftBuoyant,m1347.obj
-0.6069,-0.7284,-1.0292,-0.3437,-0.7572,-0.3113,0.1277,0.4718,0.0116,AircraftBuoyant,m1348.obj
-0.7323,-0.7735,-0.7521,-0.2824,-0.7136,0.8281,0.6354,0.2866,1.4856,AircraftBuoyant,m1351.obj
-0.4275,-0.4854,0.7487,-0.3776,-0.5271,-0.4978,-0.2427,-0.1393,-0.4291,AircraftBuoyant,m1352.obj
2.0903,3.1146,0.4722,-0.3547,4.3792,1.9872,0.9019,-0.7854,0.1114,Apartment,D00310.obj
0.5867,0.7823,-0.7154,-0.3422,0.7933,0.9321,0.9019,-0.6561,-0.3143,Apartment,D00859.obj
0.5214,1.3455,0.9242,-0.4051,2.9929,-0.2685,0.7504,-0.7628,-0.1438,Apartment,D00869.obj
0.4805,0.6836,-0.3844,-0.4159,0.7388,0.0044,0.9019,-0.6501,0.2568,Apartment,D00921.obj
-0.9144,-0.8936,-0.6333,0.2223,-0.7185,-0.0123,-0.4138,0.3048,0.2586,AquaticAnimal,m57.obj
-0.7304,-0.7753,-0.4772,0.0212,-0.719,-0.0647,-0.6661,0.3068,-0.9129,AquaticAnimal,m62.obj
0.1234,-0.1249,-0.1546,-0.4125,-0.4581,-0.7197,-0.0096,-0.2259,-0.9184,AquaticAnimal,m63.obj
-0.5821,-0.7086,-0.7012,-0.304,-0.7479,-1.0697,-0.6601,0.4277,-0.8837,AquaticAnimal,m73.obj
-0.9297,-0.975,-0.7037,-0.2393,-0.859,-0.7627,-1.1507,1.2818,-0.0609,AquaticAnimal,m74.obj
-0.8538,-0.9283,-0.7008,-0.2748,-0.8522,-0.8712,-0.9998,1.1986,-0.3159,AquaticAnimal,m76.obj
-1.0081,-1.0517,-0.457,-0.1145,-0.9093,-0.6215,-1.1114,2.2089,0.4854,AquaticAnimal,m79.obj
2.272,3.0616,0.7916,-0.3528,3.6688,0.9702,0.9019,-0.7755,-0.7001,Bed,D00184.obj
0.9794,1.7979,0.1286,-0.2979,3.0978,0.7183,0.9019,-0.7651,-0.8268,Bed,D00307.obj
0.0223,0.0689,1.3053,-0.3285,0.0193,-0.4391,-0.2933,-0.5116,-0.3528,Bed,D00538.obj
0.4992,0.633,1.2616,-0.2274,0.5727,0.0649,0.9019,-0.6292,0.1264,Bed,D00650.obj
0.769,1.3626,1.4957,-0.2465,2.1476,0.1357,0.9019,-0.7393,-0.2891,Bed,D00988.obj
-0.6953,-0.5522,-0.3538,0.0088,-0.2217,-0.9323,-1.1056,-0.4098,-0.7011,Bicycle,D00040.obj
-0.8247,-0.7986,-0.7644,0.0703,-0.6411,-1.0457,-1.7333,0.072,-0.3303,Bicycle,D00077.obj
-0.6491,-0.6409,-0.6955,0.2018,-0.5545,-0.7322,-0.7825,-0.0979,-0.2241,Bicycle,D00558.obj
-0.8275,-0.8938,0.1287,0.1469,-0.8223,-1.1372,-2.0336,0.8963,-0.7843,Bicycle,D00930.obj
-0.8821,-0.8904,-0.7442,0.3149,-0.7582,-1.0274,-1.7639,0.477,-0.1062,Bicycle,m1476.obj
-0.634,-0.5689,-0.5453,-0.2242,-0.4081,-0.7868,-0.776,-0.2766,-0.9142,Biplane,D00132.obj
-0.5575,-0.5548,-0.5813,-0.3672,-0.4997,-0.8546,-1.0073,-0.1763,-0.9075,Biplane,D00199.obj
-0.307,-0.2907,-0.5029,-0.3848,-0.2883,-0.8247,-0.6183,-0.37,-0.8024,Biplane,m1119.obj
-0.5072,-0.4852,-0.4105,-0.3546,-0.4207,-0.7103,-0.8288,-0.2646,-0.7994,Biplane,m1127.obj
0.2616,0.6291,-0.4138,-0.4062,1.0848,-0.8168,0.1975,-0.683,-0.6954,Bird,D00113.obj
-0.9304,-0.921,-0.6973,-0.3166,-0.7558,-0.8592,-1.6664,0.4649,-0.916,Bird,D00271.obj
-1.0837,-1.0691,-0.7349,0.3005,-0.8552,-0.4964,-1.3751,1.2344,0.3808,Bird,D00599.obj
-0.0661,-0.2754,-0.2837,-0.4092,-0.5268,-1.0882,-0.8024,-0.1397,-0.8725,Bird,m36.obj
-1.0349,-1.0715,1.1284,-0.3652,-0.9169,-1.3508,-2.6357,2.4219,-0.9188,Bird,m43.obj
-1.0543,-1.0516,-0.7661,-0.1562,-0.8604,-0.9014,-1.9296,1.2998,-0.7922,Bird,m47.obj
0.7292,0.7783,0.239,-0.3329,0.5371,2.6124,0.9019,-0.6241,0.9211,Bookset,D01038.obj
1.4915,1.6617,1.3839,-0.3891,1.3734,0.7571,0.9019,-0.7032,-0.0272,Bookset,D01078.obj
2.4995,3.3524,3.6298,-0.4128,4.0117,-0.0482,0.9019,-0.7807,-0.4618,Bookset,D01122.obj
-0.6447,-0.7462,-0.7187,-0.3326,-0.7527,0.3661,0.6018,0.4502,1.8511,Bottle,D00020.obj
-0.7197,-0.7763,-0.6868,-0.2781,-0.7319,0.4441,0.3666,0.3579,1.6325,Bottle,D00123.obj
0.813,0.6577,-0.4573,-0.3763,0.1774,1.0944,0.9019,-0.5563,0.4831,Bottle,D00166.obj
-0.4231,0.0248,-0.6594,-0.3586,1.1356,0.1284,0.9019,-0.687,0.8689,Bottle,D00176.obj
-0.4699,-0.4871,-0.5448,-0.3315,-0.478,0.3707,0.882,-0.2031,1.5638,Bottle,m482.obj
-0.6333,-0.6798,-0.5987,-0.3043,-0.6529,0.4774,0.6683,0.1013,2.7777,Bottle,m483.obj
-0.3793,-0.3274,-0.6179,-0.3264,-0.2584,0.4342,0.9019,-0.3887,0.8409,Bottle,m486.obj
0.4791,0.6166,2.4836,-0.3465,0.5676,-0.3001,0.8056,-0.6285,-0.7709,BuildingNonResidential,m384.obj
0.3586,0.1444,-0.023,-0.4085,-0.2456,-0.7161,-0.0072,-0.3963,-0.7688,BuildingNonResidential,m390.obj
2.9043,3.6854,2.7031,-0.4124,4.0377,-0.3422,0.9019,-0.781,-0.7463,BuildingNonResidential,m400.obj
1.1186,2.0626,0.6131,-0.405,3.6616,-0.2216,0.9019,-0.7754,-0.6168,BuildingNonResidential,m404.obj
-0.5678,-0.5957,0.4461,-0.1428,-0.5705,-0.4825,-0.5237,-0.0714,-0.2537,BuildingNonResidential,m409.obj
-0.8833,-0.608,-0.4336,-0.1517,0.3219,-0.1608,-1.0092,-0.5879,-0.3031,BuildingNonResidential,m412.obj
-0.5203,-0.4188,-0.5391,-0.243,-0.2317,0.9538,0.9019,-0.4043,2.1878,Bus,D00084.obj
-0.4725,-0.4758,-0.2906,-0.2751,-0.451,0.2769,0.4519,-0.2336,1.712,Bus,D00264.obj
