,file_name,obj_class,vertices,faces,face_type,bounding_box,has_holes,outlier_low,outlier_high,file_path
0,m1337.obj,AircraftBuoyant,201,340,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.8892340064048767, 0.9750000238418579, 0.8892340064048767]}",False,False,False,original_shapes\AircraftBuoyant\m1337.obj
1,m1338.obj,AircraftBuoyant,8761,16960,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.9330580234527588, 0.9750000238418579, 0.9379010200500488]}",False,False,False,original_shapes\AircraftBuoyant\m1338.obj
2,m1339.obj,AircraftBuoyant,1878,6173,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.6070719957351685, 0.9750000238418579, 0.6268119812011719]}",False,False,False,original_shapes\AircraftBuoyant\m1339.obj
3,m1340.obj,AircraftBuoyant,778,1457,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.367686003446579, 0.9750000238418579, 0.36768901348114014]}",False,False,False,original_shapes\AircraftBuoyant\m1340.obj
4,m1341.obj,AircraftBuoyant,425,824,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.3795750141143799, 0.9750000238418579, 0.3795750141143799]}",False,False,False,original_shapes\AircraftBuoyant\m1341.obj
5,m1342.obj,AircraftBuoyant,1252,2305,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.6115869879722595, 0.9750000238418579, 0.6093599796295166]}",False,False,False,original_shapes\AircraftBuoyant\m1342.obj
6,m1343.obj,AircraftBuoyant,178,344,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.7109209895133972, 0.9750000238418579, 0.7109209895133972]}",False,False,False,original_shapes\AircraftBuoyant\m1343.obj
7,m1344.obj,AircraftBuoyant,1093,1930,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.6740990281105042, 0.9750000238418579, 0.6740999817848206]}",False,False,False,original_shapes\AircraftBuoyant\m1344.obj
8,m1345.obj,AircraftBuoyant,3174,6000,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.6012769937515259, 0.9750000238418579, 0.6012769937515259]}",False,False,False,original_shapes\AircraftBuoyant\m1345.obj
9,m1346.obj,AircraftBuoyant,742,1375,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.32207900285720825, 0.3547250032424927, 0.9750000238418579]}",False,False,False,original_shapes\AircraftBuoyant\m1346.obj
10,m1347.obj,AircraftBuoyant,3055,6274,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.31208598613739014, 0.4198809862136841, 0.9750000238418579]}",False,False,False,original_shapes\AircraftBuoyant\m1347.obj
11,m1348.obj,AircraftBuoyant,795,1382,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.3216930031776428, 0.3549579977989197, 0.9750000238418579]}",False,False,False,original_shapes\AircraftBuoyant\m1348.obj
12,m1349.obj,AircraftBuoyant,432,640,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.9750000238418579, 0.3852030038833618, 0.2736479938030243]}",False,False,False,original_shapes\AircraftBuoyant\m1349.obj
13,m1350.obj,AircraftBuoyant,1097,1976,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.9750000238418579, 0.2913169860839844, 0.3050220012664795]}",False,False,False,original_shapes\AircraftBuoyant\m1350.obj
14,m1351.obj,AircraftBuoyant,12987,24466,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.20829999446868896, 0.21924300491809845, 0.9750000238418579]}",False,False,False,original_shapes\AircraftBuoyant\m1351.obj
15,m1352.obj,AircraftBuoyant,3298,6348,Triangles,"{'min_bound': [0.02500000037252903, 0.02500000037252903, 0.02500000037252903], 'max_bound': [0.9750000238418579, 0.37664198875427246, 0.3326210081577301]}",False,False,False,original_shapes\AircraftBuoyant\m1352.obj
16,D00045.obj,Apartment,14865,21021,Triangles,"{'min_bound': [-0.6131860017776489, -0.7009149789810181, -0.5320169925689697], 'max_bound': [0.829026997089386, 0.7704150080680847, 0.35425299406051636]}",False,False,False,original_shapes\Apartment\D00045.obj
17,D00086.obj,Apartment,20462,42064,Triangles,"{'min_bound': [-0.9208829998970032, -0.3434869945049286, -0.4154689908027649], 'max_bound': [0.8631619811058044, 1.3248200416564941, 0.2938790023326874]}",False,False,False,original_shapes\Apartment\D00086.obj
18,D00138.obj,Apartment,10710,21140,Triangles,"{'min_bound': [-0.7826820015907288, -0.5145350098609924, -0.317782998085022], 'max_bound': [0.7763389945030212, 0.6331570148468018, 0.1988849937915802]}",False,False,False,original_shapes\Apartment\D00138.obj
19,D00156.obj,Apartment,11745,19380,Triangles,"{'min_bound': [-0.8194800019264221, -0.7420709729194641, -0.6671379804611206], 'max_bound': [0.881168007850647, 0.8428320288658142, 0.5667330026626587]}",False,False,False,original_shapes\Apartment\D00156.obj
20,D00310.obj,Apartment,5934,9480,Triangles,"{'min_bound': [-0.7446560263633728, -0.38931599259376526, -0.36877501010894775], 'max_bound': [1.032979965209961, 0.49435698986053467, 0.3394339978694916]}",False,False,False,original_shapes\Apartment\D00310.obj
21,D00348.obj,Apartment,2006,3008,Triangles,"{'min_bound': [-0.9417099952697754, -0.4094899892807007, -0.8130249977111816], 'max_bound': [0.725458025932312, 0.566411018371582, 0.20519199967384338]}",False,False,False,original_shapes\Apartment\D00348.obj
22,D00366.obj,Apartment,1294,2540,Triangles,"{'min_bound': [-0.8954669833183289, -0.8567150235176086, -0.6639170050621033], 'max_bound': [0.7456439733505249, 0.5910400152206421, 0.5294020175933838]}",False,False,False,original_shapes\Apartment\D00366.obj
23,D00478.obj,Apartment,15670,25206,Triangles,"{'min_bound': [-0.7806230187416077, -0.7604140043258667, -0.47804298996925354], 'max_bound': [0.9104920029640198, 0.4047189950942993, 0.4513620138168335]}",False,False,False,original_shapes\Apartment\D00478.obj
24,D00496.obj,Apartment,1598,2579,Triangles,"{'min_bound': [-0.6434190273284912, -0.7046589851379395, -0.3411880135536194], 'max_bound': [1.1535300016403198, 0.878216028213501, 0.2596080005168915]}",False,False,False,original_shapes\Apartment\D00496.obj
25,D00626.obj,Apartment,30598,64688,Triangles,"{'min_bound': [-0.8859339952468872, -0.597769021987915, -0.5123729705810547], 'max_bound': [0.9069870114326477, 0.33114001154899597, 0.382066011428833]}",False,False,False,original_shapes\Apartment\D00626.obj
26,D00639.obj,Apartment,4282,7980,Triangles,"{'min_bound': [-0.542818009853363, -0.5442590117454529, -0.6878790259361267], 'max_bound': [1.1410800218582153, 0.5000590085983276, 0.4491159915924072]}",False,False,False,original_shapes\Apartment\D00639.obj
27,D00651.obj,Apartment,11752,19380,Triangles,"{'min_bound': [-0.9488580226898193, -0.9509310126304626, -0.5566340088844299], 'max_bound': [0.9165589809417725, 0.904250979423523, 0.6618180274963379]}",False,False,False,original_shapes\Apartment\D00651.obj
28,D00681.obj,Apartment,12682,15557,Triangles,"{'min_bound': [-0.6816710233688354, -0.7903630137443542, -0.47174400091171265], 'max_bound': [1.0945299863815308, 0.5875970125198364, 0.6560919880867004]}",False,False,False,original_shapes\Apartment\D00681.obj
29,D00780.obj,Apartment,8240,13684,Triangles,"{'min_bound': [-0.9777309894561768, -0.6182360053062439, -0.18908299505710602], 'max_bound': [0.7891989946365356, 0.4496389925479889, 0.333950012922287]}",False,False,False,original_shapes\Apartment\D00780.obj
30,D00792.obj,Apartment,795,1158,Triangles,"{'min_bound': [-0.7951629757881165, -0.965408980846405, -0.6692960262298584], 'max_bound': [1.1035399436950684, 0.963375985622406, 0.859246015548706]}",False,False,False,original_shapes\Apartment\D00792.obj
