file_name,obj_class,volume,surface_area,diameter,eccentricity,compactness,rectangularity,convexity,elongation,A3,D1,D2,D3,D4
m1352.obj,AircraftBuoyant,0.7941,0.8215,1.2377,0.1154,0.6277,1.3285,1.1464,0.8282,0.0048,0.008,0.0156,0.0157,0.0105
m1344.obj,AircraftBuoyant,0.0414,0.386,0.2623,0.1539,0.6017,1.6277,0.2894,1.2438,0.0086,0.0283,0.015,0.0075,0.0053
m1346.obj,AircraftBuoyant,0.9714,1.0651,0.2976,0.0812,0.8602,0.9085,0.7726,0.2822,0.0066,0.0063,0.0084,0.0129,0.0084
m1351.obj,AircraftBuoyant,1.0991,1.1099,0.2847,0.0201,0.8144,0.0019,0.2676,1.0872,0.0116,0.0091,0.0085,0.0143,0.0092
m1348.obj,AircraftBuoyant,0.9736,1.0648,0.2039,0.0814,0.858,1.1419,0.7756,0.3873,0.0056,0.0061,0.0095,0.0129,0.0087
m1347.obj,AircraftBuoyant,0.7302,0.8028,0.2325,0.0905,0.6628,0.9884,0.2954,0.0123,0.0033,0.0089,0.0069,0.008,0.0023
D00310.obj,Apartment,1.7267,2.7831,0.9401,0.0924,4.2833,1.1577,0.0009,0.2875,0.0037,0.0055,0.0069,0.0047,0.0028
D00869.obj,Apartment,0.156,1.0118,1.3921,0.1429,2.8957,1.0991,0.1524,0.5428,0.007,0.0067,0.0056,0.0044,0.013
D00859.obj,Apartment,0.2213,0.4478,0.2479,0.0799,0.694,0.1021,0.0009,0.7134,0.0041,0.0084,0.0076,0.0054,0.0015
D00921.obj,Apartment,0.115,0.349,0.0833,0.1536,0.6394,0.826,0.0009,0.142,0.0062,0.0194,0.0122,0.0025,0.008
m76.obj,AquaticAnimal,1.2208,1.265,0.2332,0.0124,0.9532,1.7021,1.9041,0.715,0.0086,0.0055,0.0094,0.0153,0.015
m74.obj,AquaticAnimal,1.2968,1.3117,0.2361,0.0232,0.9599,1.5935,2.0551,0.4598,0.0109,0.0062,0.0104,0.0171,0.0158
m79.obj,AquaticAnimal,1.3753,1.3885,0.0107,0.1481,1.0103,1.4523,2.0158,0.0867,0.0164,0.0095,0.0075,0.0188,0.0162
m57.obj,AquaticAnimal,1.2815,1.2303,0.1432,0.4852,0.8193,0.8427,1.3176,0.1402,0.0119,0.0077,0.0089,0.0151,0.0166
m62.obj,AquaticAnimal,1.0972,1.1118,0.3223,0.2839,0.8198,0.8952,1.5701,1.3121,0.0054,0.0064,0.0143,0.0122,0.0155
m63.obj,AquaticAnimal,0.2425,0.4605,0.3131,0.1503,0.5586,1.5505,0.9131,1.3177,0.0087,0.0212,0.0184,0.0138,0.005
