file_name,obj_class,vertices,faces,face_type,bounding_box,centroid,is_watertight,outlier_low,outlier_high,file_path
m1337.obj,AircraftBuoyant,201,340,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.889234, 0.975, 0.889234]}","[0.4574659809675901, 0.5868090420170424, 0.4569308947609925]",False,True,False,datasets/dataset_original\AircraftBuoyant\m1337.obj
m1338.obj,AircraftBuoyant,8761,16960,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.933058, 0.975, 0.937901]}","[0.47940540052817443, 0.5960858928870724, 0.4812309679144764]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1338.obj
m1339.obj,AircraftBuoyant,1878,6173,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.607072, 0.975, 0.626812]}","[0.31508891235632824, 0.5674320255087166, 0.3259912254169559]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1339.obj
m1340.obj,AircraftBuoyant,778,1457,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.367686, 0.975, 0.367689]}","[0.1962130866907133, 0.6920681374843045, 0.19614329350776918]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1340.obj
m1341.obj,AircraftBuoyant,425,824,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.379575, 0.975, 0.379575]}","[0.2022926754382985, 0.6502379701976364, 0.20228756485507463]",False,True,False,datasets/dataset_original\AircraftBuoyant\m1341.obj
m1342.obj,AircraftBuoyant,1252,2305,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.611587, 0.975, 0.60936]}","[0.32672695833535836, 0.5733604018298943, 0.31560927987723586]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1342.obj
m1343.obj,AircraftBuoyant,178,344,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.710921, 0.975, 0.710921]}","[0.3679602755287792, 0.5307436829535308, 0.3679601350148104]",True,True,False,datasets/dataset_original\AircraftBuoyant\m1343.obj
m1344.obj,AircraftBuoyant,1093,1930,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.674099, 0.975, 0.6741]}","[0.3495570084257983, 0.6533597460606281, 0.34954241977597167]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1344.obj
m1345.obj,AircraftBuoyant,3174,6000,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.601277, 0.975, 0.601277]}","[0.313080768148087, 0.6816890657605764, 0.313073064268404]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1345.obj
m1346.obj,AircraftBuoyant,742,1375,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.322079, 0.354725, 0.975]}","[0.1690698933681304, 0.19947750637244238, 0.47976756498559037]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1346.obj
m1347.obj,AircraftBuoyant,3055,6274,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.312086, 0.419881, 0.975]}","[0.16903252967644192, 0.23586450540378745, 0.4836687587121327]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1347.obj
m1348.obj,AircraftBuoyant,795,1382,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.321693, 0.354958, 0.975]}","[0.16888468949007243, 0.19955158438249557, 0.4798274272596486]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1348.obj
m1349.obj,AircraftBuoyant,432,640,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.975, 0.385203, 0.273648]}","[0.4806177375112269, 0.2206982595955151, 0.149631474182185]",False,True,False,datasets/dataset_original\AircraftBuoyant\m1349.obj
m1350.obj,AircraftBuoyant,1097,1976,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.975, 0.291317, 0.305022]}","[0.48724929660994415, 0.15815833562260842, 0.17091809390936438]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1350.obj
m1351.obj,AircraftBuoyant,12987,24466,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.2083, 0.219243, 0.975]}","[0.11664976721069842, 0.12663782494999398, 0.4440640637149382]",False,False,True,datasets/dataset_original\AircraftBuoyant\m1351.obj
m1352.obj,AircraftBuoyant,3298,6348,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.975, 0.376642, 0.332621]}","[0.5269492226051435, 0.2140350885014, 0.1788084652049108]",False,False,False,datasets/dataset_original\AircraftBuoyant\m1352.obj
D00045.obj,Apartment,14865,21021,Triangles,"{'min_bound': [-0.613186, -0.700915, -0.532017], 'max_bound': [0.829027, 0.770415, 0.354253]}","[0.07368644708332844, 0.005265416820265299, -0.1058245841716508]",False,False,True,datasets/dataset_original\Apartment\D00045.obj
D00086.obj,Apartment,20462,42064,Triangles,"{'min_bound': [-0.920883, -0.343487, -0.415469], 'max_bound': [0.863162, 1.32482, 0.293879]}","[-0.02357932020882135, 0.3428446541094572, -0.04320320609463134]",False,False,True,datasets/dataset_original\Apartment\D00086.obj
D00138.obj,Apartment,10710,21140,Triangles,"{'min_bound': [-0.782682, -0.514535, -0.317783], 'max_bound': [0.776339, 0.633157, 0.198885]}","[-0.006032067912665181, 0.04028284349690303, -0.05598296093847887]",False,False,True,datasets/dataset_original\Apartment\D00138.obj
