file_name,obj_class,vertices,faces,face_type,bounding_box,centroid,is_watertight,outlier_low,outlier_high,file_path
m1337.obj,AircraftBuoyant,201,340,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.889234, 0.975, 0.889234]}","[0.4574659809675901, 0.5868090420170424, 0.4569308947609925]",False,True,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1337.obj
m1338.obj,AircraftBuoyant,8761,16960,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.933058, 0.975, 0.937901]}","[0.47940540052817443, 0.5960858928870724, 0.4812309679144764]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1338.obj
m1339.obj,AircraftBuoyant,1878,6175,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.607072, 0.975, 0.626812]}","[0.3150900523440794, 0.567422105194587, 0.3259917668143688]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1339.obj
m1340.obj,AircraftBuoyant,778,1457,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.367686, 0.975, 0.367689]}","[0.1962130866907133, 0.6920681374843045, 0.19614329350776918]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1340.obj
m1341.obj,AircraftBuoyant,424,824,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.379575, 0.975, 0.379575]}","[0.2022926754382985, 0.6502379701976364, 0.20228756485507463]",False,True,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1341.obj
m1342.obj,AircraftBuoyant,1252,2305,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.611587, 0.975, 0.60936]}","[0.32672695833535836, 0.5733604018298943, 0.31560927987723586]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1342.obj
m1343.obj,AircraftBuoyant,178,344,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.710921, 0.975, 0.710921]}","[0.3679602755287792, 0.5307436829535308, 0.3679601350148104]",True,True,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1343.obj
m1344.obj,AircraftBuoyant,1061,1991,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.674099, 0.975, 0.6741]}","[0.34958691547984105, 0.6442829496263721, 0.3495411695538442]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1344.obj
m1345.obj,AircraftBuoyant,3174,6000,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.601277, 0.975, 0.601277]}","[0.313080768148087, 0.6816890657605764, 0.313073064268404]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1345.obj
m1346.obj,AircraftBuoyant,742,1374,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.322079, 0.354725, 0.975]}","[0.1690698933681304, 0.19947750637244238, 0.47976756498559037]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1346.obj
m1347.obj,AircraftBuoyant,3052,6268,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.312086, 0.419881, 0.975]}","[0.1690325296764419, 0.23586450540378742, 0.48366875871213266]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1347.obj
m1348.obj,AircraftBuoyant,747,1386,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.321693, 0.354958, 0.975]}","[0.1688846872159126, 0.19955157324131895, 0.4798274262248316]",False,False,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1348.obj
m1349.obj,AircraftBuoyant,432,640,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.975, 0.385203, 0.273648]}","[0.4806177375112269, 0.2206982595955151, 0.149631474182185]",False,True,False,datasets/dataset_original_cleaned\AircraftBuoyant\m1349.obj
