file_name,obj_class,vertices,faces,face_type,bounding_box,centroid,is_watertight,outlier_low,outlier_high,file_path
m1337.obj,AircraftBuoyant,5363,10595,Triangles,"{'min_bound': [-0.40794145, -0.45878165, -0.45828849], 'max_bound': [0.59358409, 0.46039865, 0.45979467]}","[-1.9476075229887752e-10, -6.256277109032265e-11, 1.6239917763993074e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1337.obj
m1338.obj,AircraftBuoyant,4214,8308,Triangles,"{'min_bound': [-0.40504315, -0.4707048, -0.47768432], 'max_bound': [0.61298032, 0.4806929, 0.47953623]}","[8.367839973805206e-10, 9.681014867969766e-11, 1.4160976945111906e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1338.obj
m1339.obj,AircraftBuoyant,5374,10735,Triangles,"{'min_bound': [-0.43838786, -0.31679926, -0.30692913], 'max_bound': [0.56168526, 0.31694753, 0.30595163]}","[-1.5127064106038634e-10, 1.8241052147941708e-11, 1.3613364676732267e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1339.obj
m1340.obj,AircraftBuoyant,5572,11017,Triangles,"{'min_bound': [-0.29708236, -0.17454257, -0.17495241], 'max_bound': [0.70294203, 0.17569506, 0.17510694]}","[-3.7232520902923956e-10, 1.113848162948613e-10, -1.9886295657452015e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1340.obj
m1341.obj,AircraftBuoyant,4578,9121,Triangles,"{'min_bound': [-0.34112656, -0.18280251, -0.1820577], 'max_bound': [0.65886018, 0.18202139, 0.18246638]}","[-1.4909519008938676e-09, 3.8580701520577744e-10, 8.131284040750183e-11]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1341.obj
m1342.obj,AircraftBuoyant,4651,9219,Triangles,"{'min_bound': [-0.42267077, -0.30529692, -0.31576433], 'max_bound': [0.58015104, 0.30784361, 0.31483405]}","[-4.3050128517384726e-10, -1.7930915457064315e-10, -2.035481428893544e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1342.obj
m1343.obj,AircraftBuoyant,5308,10604,Triangles,"{'min_bound': [-0.53493822, -0.35654453, -0.35673423], 'max_bound': [0.46546514, 0.3570064, 0.35821522]}","[-2.1002954660410955e-10, 2.177729701942496e-10, -7.587042799963612e-11]",True,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1343.obj
m1344.obj,AircraftBuoyant,4012,7956,Triangles,"{'min_bound': [-0.33969194, -0.343699, -0.34393579], 'max_bound': [0.66026619, 0.3441646, 0.34392722]}","[-3.213288801251625e-10, -1.0074513652261286e-10, -3.2520680873430393e-11]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1344.obj
m1345.obj,AircraftBuoyant,5449,10006,Triangles,"{'min_bound': [-0.30803945, -0.28633333, -0.28623497], 'max_bound': [0.69196092, 0.28627628, 0.28656777]}","[-6.362599867182186e-10, 2.579793948058007e-10, 1.4919678250525968e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1345.obj
m1346.obj,AircraftBuoyant,4981,9849,Triangles,"{'min_bound': [-0.48171912, -0.16049359, -0.15944566], 'max_bound': [0.51874288, 0.18848176, 0.15137534]}","[3.864963196184232e-10, 2.4693014568447776e-10, -2.3712797732853902e-11]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1346.obj
m1347.obj,AircraftBuoyant,5324,10635,Triangles,"{'min_bound': [-0.51567089, -0.19727428, -0.15080994], 'max_bound': [0.48791364, 0.2193569, 0.15083868]}","[4.1474440270031494e-10, 1.925568282772471e-11, 1.2751695240985645e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1347.obj
m1348.obj,AircraftBuoyant,5351,10587,Triangles,"{'min_bound': [-0.48090102, -0.16354193, -0.15064502], 'max_bound': [0.51923189, 0.18665557, 0.16148472]}","[3.297003131672797e-10, 1.8017107377485425e-10, 5.409991822781223e-11]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1348.obj
m1349.obj,AircraftBuoyant,5061,9984,Triangles,"{'min_bound': [-0.51992131, -0.15016843, -0.12858159], 'max_bound': [0.48481643, 0.20509777, 0.13317029]}","[2.323547386260609e-10, 1.8664528190838287e-10, 3.0672647807621904e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1349.obj
m1350.obj,AircraftBuoyant,4001,7903,Triangles,"{'min_bound': [-0.48520702, -0.14364262, -0.1409136], 'max_bound': [0.51606886, 0.15312293, 0.14054802]}","[-6.127007362161919e-10, -9.429750905526864e-11, 1.8727806039393452e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1350.obj
m1351.obj,AircraftBuoyant,4455,8650,Triangles,"{'min_bound': [-0.46182493, -0.09463243, -0.1007192], 'max_bound': [0.53898888, 0.09490659, 0.10766704]}","[-3.641586428422858e-10, -2.6785698718145235e-10, -9.034526043078746e-12]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1351.obj
m1352.obj,AircraftBuoyant,4317,8583,Triangles,"{'min_bound': [-0.44182982, -0.17230375, -0.16273036], 'max_bound': [0.55820172, 0.20428676, 0.16593347]}","[-3.5141728208970415e-11, 1.7170001033996002e-10, 4.582047772476511e-10]",False,False,False,datasets/dataset_original_normalized\AircraftBuoyant\m1352.obj
D00045.obj,Apartment,5514,7664,Triangles,"{'min_bound': [-0.44885798, -0.50482086, -0.22344334], 'max_bound': [0.52466482, 0.47279297, 0.31303385]}","[-9.599104583487136e-10, -4.7370271501972e-10, -4.860776375103761e-10]",False,False,False,datasets/dataset_original_normalized\Apartment\D00045.obj
D00086.obj,Apartment,4840,10112,Triangles,"{'min_bound': [-0.50166466, -0.55065008, -0.22627329], 'max_bound': [0.50164568, 0.38924254, 0.20130265]}","[8.147102090003512e-10, -9.536627694773839e-11, -4.513383482767014e-10]",False,False,False,datasets/dataset_original_normalized\Apartment\D00086.obj
D00138.obj,Apartment,5342,10349,Triangles,"{'min_bound': [-0.51232831, -0.39926422, -0.17290322], 'max_bound': [0.50089685, 0.36571177, 0.16896168]}","[2.2560393069957674e-10, 3.217822599586103e-10, -1.8480557601513158e-11]",False,False,False,datasets/dataset_original_normalized\Apartment\D00138.obj
D00156.obj,Apartment,4413,7106,Triangles,"{'min_bound': [-0.48274528, -0.36951284, -0.31296829], 'max_bound': [0.49426822, 0.40579124, 0.28885814]}","[-2.048042175890871e-10, -5.568917450627617e-10, -8.847419116371883e-11]",False,False,False,datasets/dataset_original_normalized\Apartment\D00156.obj
D00310.obj,Apartment,5775,9904,Triangles,"{'min_bound': [-0.5125438, -0.26318499, -0.1803129], 'max_bound': [0.49130876, 0.26545753, 0.20721413]}","[-1.2819417703945753e-09, -7.541923602442301e-10, 1.4531832634041835e-10]",False,False,False,datasets/dataset_original_normalized\Apartment\D00310.obj
D00348.obj,Apartment,4604,8326,Triangles,"{'min_bound': [-0.4862811, -0.37816579, -0.34964146], 'max_bound': [0.4712115, 0.37687176, 0.30592461]}","[3.1138846704706034e-10, 2.2737647140057098e-10, -1.1285493075776906e-11]",False,False,False,datasets/dataset_original_normalized\Apartment\D00348.obj
D00366.obj,Apartment,5121,10176,Triangles,"{'min_bound': [-0.49380988, -0.35934659, -0.247227], 'max_bound': [0.4773233, 0.35431559, 0.31333881]}","[-1.304840541064509e-09, -6.955743784369463e-11, -7.983881249871931e-11]",False,False,False,datasets/dataset_original_normalized\Apartment\D00366.obj
D00496.obj,Apartment,4935,9098,Triangles,"{'min_bound': [-0.45598053, -0.31983686, -0.1528701], 'max_bound': [0.37520907, 0.31851606, 0.15247128]}","[1.6135294741528897e-10, -4.977093040523574e-10, -6.214200274628808e-10]",False,False,False,datasets/dataset_original_normalized\Apartment\D00496.obj
D00639.obj,Apartment,4277,8118,Triangles,"{'min_bound': [-0.55881392, -0.28592627, -0.23912383], 'max_bound': [0.3737975, 0.29144473, 0.29237479]}","[-3.156446328088729e-10, -8.967834088241792e-10, 1.1757309514855957e-10]",False,False,False,datasets/dataset_original_normalized\Apartment\D00639.obj
D00651.obj,Apartment,4403,7095,Triangles,"{'min_bound': [-0.44060386, -0.33786672, -0.28764011], 'max_bound': [0.44528858, 0.36176258, 0.26262157]}","[8.109012408855053e-11, -4.2164031911253486e-11, -1.2555165716241954e-09]",False,False,False,datasets/dataset_original_normalized\Apartment\D00651.obj
D00681.obj,Apartment,4694,6024,Triangles,"{'min_bound': [-0.45039326, -0.26601072, -0.28945377], 'max_bound': [0.4694573, 0.38844955, 0.32016372]}","[-5.065107353672001e-10, 5.912281782745729e-10, -2.0939856954222035e-10]",False,False,False,datasets/dataset_original_normalized\Apartment\D00681.obj
D00780.obj,Apartment,4032,6889,Triangles,"{'min_bound': [-0.49116878, -0.26183244, -0.05360065], 'max_bound': [0.46295416, 0.25675381, 0.20948568]}","[7.611168246183939e-09, -8.276305816493398e-10, 6.138701132091594e-10]",False,False,False,datasets/dataset_original_normalized\Apartment\D00780.obj
