file_name,obj_class,vertices,faces,face_type,bounding_box,centroid,is_watertight,outlier_low,outlier_high,file_path
m1337.obj,AircraftBuoyant,5363,10595,Triangles,"{'min_bound': [0.025, 0.0249961641739328, 0.0249985118428113], 'max_bound': [0.8892438432095277, 0.9735065257513303, 0.889234308939127]}","[0.4574956584260295, 0.5866009689122713, 0.45699489061300186]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1337.obj
m1338.obj,AircraftBuoyant,4214,8308,Triangles,"{'min_bound': [0.0260528498681789, 0.0249582045767359, 0.02621726214131], 'max_bound': [0.9317229176748337, 0.975, 0.9360173998700385]}","[0.4793818628125762, 0.5955986087682589, 0.48114452381150297]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1338.obj
m1339.obj,AircraftBuoyant,5395,10743,Triangles,"{'min_bound': [0.0261686099557326, 0.0287661478308684, 0.025], 'max_bound': [0.6061182189033155, 0.975, 0.6257147756472872]}","[0.3149043925041301, 0.5602345537792267, 0.32558166226623647]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1339.obj
m1340.obj,AircraftBuoyant,5573,11021,Triangles,"{'min_bound': [0.0262550044148736, 0.0262532301245071, 0.0260345486855877], 'max_bound': [0.3661557926898784, 0.9747388223206059, 0.366708293299693]}","[0.19614191352593777, 0.6929664634060303, 0.19616932739753679]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1340.obj
m1341.obj,AircraftBuoyant,4578,9121,Triangles,"{'min_bound': [0.0263788693440542, 0.0280263224254795, 0.0267589102036538], 'max_bound': [0.3779186147326274, 0.9748111360829183, 0.3784326174425571]}","[0.2022452934833424, 0.6518276138125937, 0.20225293872692066]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1341.obj
m1342.obj,AircraftBuoyant,4670,9219,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.611587, 0.9746961793637944, 0.60936]}","[0.3271235546422379, 0.5748295892149395, 0.3161893446313668]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1342.obj
m1343.obj,AircraftBuoyant,5308,10604,Triangles,"{'min_bound': [0.0281676650254988, 0.0249999999905331, 0.0287073444265267], 'max_bound': [0.7068541042995635, 0.9715448252333967, 0.7075674460554844]}","[0.36792750287429726, 0.5309780832231027, 0.3679232314674674]",True,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1343.obj
m1344.obj,AircraftBuoyant,4012,7956,Triangles,"{'min_bound': [0.025406422548462, 0.025, 0.0254063927018463], 'max_bound': [0.6736926387532566, 0.9740237840291828, 0.6736935404918014]}","[0.3495908409276885, 0.6516295957366897, 0.34949471637911544]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1344.obj
m1345.obj,AircraftBuoyant,5449,10006,Triangles,"{'min_bound': [0.025, 0.025015799091613, 0.02554902], 'max_bound': [0.601277, 0.9742156171480908, 0.601277]}","[0.31307509547028955, 0.6818249518788864, 0.3130951099759842]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1345.obj
m1346.obj,AircraftBuoyant,4981,9849,Triangles,"{'min_bound': [0.025898933125, 0.025, 0.025612], 'max_bound': [0.32136487, 0.3533990000000002, 0.9711762578348779]}","[0.16902530404731558, 0.19947966903897196, 0.4806443232484177]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1346.obj
m1347.obj,AircraftBuoyant,5324,10636,Triangles,"{'min_bound': [0.0254977117989076, 0.0255372609489833, 0.025], 'max_bound': [0.3115009977152568, 0.4194697893815053, 0.9734317459495057]}","[0.16903571717547003, 0.23609810310956145, 0.48376584457799354]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1347.obj
m1348.obj,AircraftBuoyant,5351,10587,Triangles,"{'min_bound': [0.0256615, 0.025, 0.02559137], 'max_bound': [0.32103144, 0.35429663, 0.9708839219129719]}","[0.16887932470547404, 0.1996321009133474, 0.4800602587148813]",False,False,False,datasets/dataset_original_remeshed\AircraftBuoyant\m1348.obj
