file_name,obj_class,vertices,faces,face_type,bounding_box,centroid,is_watertight,outlier_low,outlier_high,file_path
m1337.obj,AircraftBuoyant,5363,10595,Triangles,"{'min_bound': [0.025, 0.02499616, 0.02499851], 'max_bound': [0.88924384, 0.97350653, 0.88923431]}","[0.4574956583429645, 0.5866009688714539, 0.45699489072508626]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1337.obj
m1338.obj,AircraftBuoyant,4214,8308,Triangles,"{'min_bound': [0.02605285, 0.0249582, 0.02621726], 'max_bound': [0.93172292, 0.975, 0.9360174]}","[0.4793818631165299, 0.5955986084840148, 0.4811445240884445]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1338.obj
m1339.obj,AircraftBuoyant,5373,10744,Triangles,"{'min_bound': [0.02616861, 0.02876615, 0.025], 'max_bound': [0.60611822, 0.975, 0.62571478]}","[0.3149050302536292, 0.5602335877590746, 0.32559479757209514]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1339.obj
m1340.obj,AircraftBuoyant,5572,11019,Triangles,"{'min_bound': [0.026255, 0.02625323, 0.02603455], 'max_bound': [0.36615579, 0.97473882, 0.36670829]}","[0.19614191342225318, 0.692966460820736, 0.19616932734840672]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1340.obj
m1341.obj,AircraftBuoyant,4578,9121,Triangles,"{'min_bound': [0.02637887, 0.02802632, 0.02675891], 'max_bound': [0.37791861, 0.97481114, 0.37843262]}","[0.20224529351508042, 0.6518276143811494, 0.20225293847459105]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1341.obj
m1342.obj,AircraftBuoyant,4651,9219,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.611587, 0.97469618, 0.60936]}","[0.32712355500420703, 0.5748295900337705, 0.31618934472083604]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1342.obj
m1343.obj,AircraftBuoyant,5308,10604,Triangles,"{'min_bound': [0.02816767, 0.025, 0.02870734], 'max_bound': [0.7068541, 0.97154483, 0.70756745]}","[0.36792750293696724, 0.5309780831519073, 0.36792323121896386]",True,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1343.obj
m1344.obj,AircraftBuoyant,4012,7962,Triangles,"{'min_bound': [0.02540642, 0.025, 0.02540639], 'max_bound': [0.67369264, 0.97402378, 0.67369354]}","[0.349588905138072, 0.6506134415727194, 0.349497164266835]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1344.obj
m1345.obj,AircraftBuoyant,5449,10006,Triangles,"{'min_bound': [0.025, 0.0250158, 0.02554902], 'max_bound': [0.601277, 0.97421562, 0.601277]}","[0.31307509540084766, 0.6818249510045853, 0.3130951101534921]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1345.obj
m1346.obj,AircraftBuoyant,4981,9851,Triangles,"{'min_bound': [0.02589893, 0.025, 0.025612], 'max_bound': [0.32136487, 0.353399, 0.97117626]}","[0.16902531557088335, 0.19947961772990616, 0.4806443260911241]",False,False,False,datasets/dataset_original_remeshed_cleaned\AircraftBuoyant\m1346.obj
