file_name,obj_class,vertices,faces,face_type,bounding_box,centroid,is_watertight,outlier_low,outlier_high,file_path
m1337.obj,AircraftBuoyant,5412,10595,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.889234, 0.975, 0.889234]}","[0.45746503191356763, 0.5868092084860719, 0.45693111296502936]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1337.obj
m1338.obj,AircraftBuoyant,4236,8309,Triangles,"{'min_bound': [0.025, 0.025004, 0.025], 'max_bound': [0.933058, 0.975, 0.937901]}","[0.47934840971313325, 0.5960549609023161, 0.48123395097789706]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1338.obj
m1339.obj,AircraftBuoyant,4970,16364,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.607072, 0.975, 0.626812]}","[0.3151433775339036, 0.5680599623904227, 0.3259707170324266]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1339.obj
m1340.obj,AircraftBuoyant,5590,11021,Triangles,"{'min_bound': [0.025, 0.025, 0.02499999], 'max_bound': [0.367686, 0.975, 0.367689]}","[0.1962733809701122, 0.692054739761789, 0.19623481877049875]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1340.obj
m1341.obj,AircraftBuoyant,4581,9121,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.37957504, 0.975, 0.37957501]}","[0.20229269621629173, 0.6502390174469224, 0.2022878638822849]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1341.obj
m1342.obj,AircraftBuoyant,4794,9220,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.611587, 0.975, 0.60936]}","[0.3267269583353574, 0.573360401829893, 0.3156092798772353]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1342.obj
m1343.obj,AircraftBuoyant,5308,10604,Triangles,"{'min_bound': [0.025, 0.02499999, 0.025], 'max_bound': [0.710921, 0.975, 0.710921]}","[0.36797937844592105, 0.5307273188318271, 0.3679414829255657]",True,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1343.obj
m1344.obj,AircraftBuoyant,4101,7956,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.674099, 0.975, 0.6741]}","[0.3495869154798109, 0.644282949639954, 0.3495411695538487]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1344.obj
m1345.obj,AircraftBuoyant,5223,10027,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.601277, 0.975, 0.601277]}","[0.3130816132921613, 0.6817017284040484, 0.3130931820753201]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1345.obj
m1346.obj,AircraftBuoyant,4991,9850,Triangles,"{'min_bound': [0.025612, 0.025, 0.025612], 'max_bound': [0.32136487, 0.353399, 0.975]}","[0.16901546396651276, 0.19942108310765017, 0.4807328208299243]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1346.obj
m1347.obj,AircraftBuoyant,5710,11754,Triangles,"{'min_bound': [0.02493729, 0.02491696, 0.025], 'max_bound': [0.31208459, 0.41987596, 0.97508219]}","[0.16903644728327122, 0.235882764977938, 0.4836763696419944]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1347.obj
m1348.obj,AircraftBuoyant,5380,10588,Triangles,"{'min_bound': [0.0252325, 0.025, 0.02559137], 'max_bound': [0.32146038, 0.35429663, 0.975]}","[0.1688814571456752, 0.1995430556547185, 0.48019176802314667]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1348.obj
m1349.obj,AircraftBuoyant,5475,10240,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.975, 0.385203, 0.273648]}","[0.4806177375112277, 0.22069825959551623, 0.14963147418218467]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1349.obj
m1350.obj,AircraftBuoyant,4167,7904,Triangles,"{'min_bound': [0.025, 0.025, 0.025], 'max_bound': [0.975, 0.291317, 0.305022]}","[0.4872492966099414, 0.15815833562260762, 0.17091809390936366]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1350.obj
m1351.obj,AircraftBuoyant,4503,8650,Triangles,"{'min_bound': [0.02500069, 0.02494587, 0.02498805], 'max_bound': [0.20826537, 0.21919322, 0.975]}","[0.11663886709508771, 0.12656840049872897, 0.4441358162380877]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1351.obj
m1352.obj,AircraftBuoyant,4353,8584,Triangles,"{'min_bound': [0.02496511, 0.025, 0.025409], 'max_bound': [0.975, 0.37688917, 0.33262099]}","[0.5269080900309493, 0.21399609233835168, 0.17890676840488937]",False,False,False,datasets/dataset_original_resampled_cleaned\AircraftBuoyant\m1352.obj
D00045.obj,Apartment,5432,7664,Triangles,"{'min_bound': [-0.539076, -0.571423, -0.495092], 'max_bound': [0.829027, 0.705669, 0.35244611]}","[0.1126071020000325, 0.02267862618540293, -0.1268801658359816]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00045.obj
D00086.obj,Apartment,4859,10112,Triangles,"{'min_bound': [-0.920883, -0.34439003, -0.415469], 'max_bound': [0.863162, 1.32482, 0.293879]}","[-0.021073805163834083, 0.3429688515590303, -0.04464951178721828]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00086.obj
D00138.obj,Apartment,5295,10350,Triangles,"{'min_bound': [-0.782682, -0.514535, -0.317783], 'max_bound': [0.776339, 0.633157, 0.198885]}","[-0.006064910257898658, 0.040970069576116444, -0.05603764199586489]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00138.obj
D00156.obj,Apartment,4574,7106,Triangles,"{'min_bound': [-0.804138, -0.742071, -0.667138], 'max_bound': [0.881168, 0.831504, 0.5404905]}","[0.02201939119406701, 0.05270618026102182, -0.09513393461956593]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00156.obj
D00310.obj,Apartment,5934,9905,Triangles,"{'min_bound': [-0.744656, -0.389316, -0.368775], 'max_bound': [1.03298, 0.494357, 0.339434]}","[0.12145982423700584, 0.05019920770048219, -0.04377863780751676]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00310.obj
D00348.obj,Apartment,4839,8326,Triangles,"{'min_bound': [-0.94171, -0.40949, -0.813025], 'max_bound': [0.725458, 0.566411, 0.205192]}","[-0.09397399851832139, 0.07428331631179, -0.28897934670051934]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00348.obj
D00366.obj,Apartment,5144,10176,Triangles,"{'min_bound': [-0.895467, -0.856715, -0.663917], 'max_bound': [0.745644, 0.59104, 0.529402]}","[-0.0980779381356731, -0.14255730385900067, -0.021563475208083566]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00366.obj
D00496.obj,Apartment,5615,10608,Triangles,"{'min_bound': [-0.643419, -0.704659, -0.341188], 'max_bound': [1.15353, 0.878216, 0.259608]}","[0.17409303489464306, 0.06564230053561763, -0.033250556458623376]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00496.obj
D00639.obj,Apartment,4282,8119,Triangles,"{'min_bound': [-0.542818, -0.544259, -0.687879], 'max_bound': [1.14108, 0.500059, 0.449116]}","[0.15635785178339634, -0.023948809580291733, -0.06671376965552724]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00639.obj
D00651.obj,Apartment,4571,7096,Triangles,"{'min_bound': [-0.94091894, -0.94604687, -0.41172842], 'max_bound': [0.916559, 0.904251, 0.661818]}","[-0.031258671400152024, -0.04331742161534394, 0.09718561148339576]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00651.obj
D00681.obj,Apartment,4649,6025,Triangles,"{'min_bound': [-0.681671, -0.78938938, -0.47037561], 'max_bound': [1.09425393, 0.587597, 0.656092]}","[0.1570788887972935, -0.03529217704792099, 0.09071356323943323]",False,False,False,datasets/dataset_original_resampled_cleaned\Apartment\D00681.obj
